Kraj,Kandidatka,PoradiKand,KandJmeno,Povolani,Bydliste,KandVek,Hlasy,Procenta,Mandat,PoradiVysl,Prislusnost,NavrhujiciStrana,URL
1,1,18,Balík Michael  Ing. CSc.,"stav. inženýr, egyptolog",Praha,67,28,2.24,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,29,Bartoň Pavel  Ing.,ředitel firmy,Praha,57,7,0.56,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,34,Beran Jaroslav,živnostník,Praha,39,7,0.56,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,3,Bílek Petr  Ing. arch.,architekt,Praha,63,77,6.17,0,,Občané,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,33,Bodešínský Pavel,senior - admin. pracovník,Praha,65,6,0.48,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,11,Domlátil Jiří  Ing.,"místopředseda KAN, stav. ing",Praha,64,17,1.36,0,,KAN,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,32,Fischová Blanka,asistentka,Praha,49,15,1.20,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,15,Halmanová Mariana  Bc.,student VŠ,Praha,26,29,2.32,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,25,Hálová Kamila,"manikérka, pedikérka",Praha,42,7,0.56,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,4,Havlena Petr  Ing.,podnikatel,Praha,59,43,3.45,0,,Občané,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,1,Havlík Peter,předseda OBČANÉ.CZ,Praha,51,162,13.00,0,,Občané,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,7,Hazmuková Jana  JUDr.,komerční právnička,Praha,50,28,2.24,0,,Občané,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,10,Herold Martin  MUDr.,lékař,Praha,49,37,2.96,0,,Občané,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,5,Holba Pavel  Ing. CSc.,"předseda KAN, vědec",Praha,69,43,3.45,0,,KAN,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,24,Hons Robert  Mgr.,geolog,Praha,42,14,1.12,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,23,Hřeben Josef  Mgr.,státní zaměstnanec,Praha,45,9,0.72,0,,Občané,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,16,Chalupská Svatava,režie zvuku,Praha,78,6,0.48,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,27,Karlík Vladimír  Ing.,jednatel stavební firmy,Praha,65,4,0.32,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,30,Koutníková Lucie,studentka,Praha,25,22,1.76,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,8,Machač Jiří  Ing.,ekonom,Sulice,61,23,1.84,0,,KAN,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,13,"Mandysová Eva  Doc., MUDr. CSc.",lékařka,Praha,59,50,4.01,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,9,"Matzner Jiří  JUDr. PhD, LLM",advokát,Praha,35,44,3.53,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,22,Pacholík Rudolf  Ing.,podnikatel,Praha,64,4,0.32,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,20,Palečková Jana  JUDr.,advokátka,Praha,50,28,2.24,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,35,Pazdera František  Mgr.,"architekt, dizajnér",Praha,62,13,1.04,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,2,Pilný Ivan  Ing.,"konzultant,manažer,podnikatel",Praha,65,100,8.02,0,,Občané,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,26,Průšová Marta,zdravotní sestra,Praha,40,30,2.40,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,14,Říha Petr  Ing.,místostarosta MČ,Praha,57,14,1.12,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,31,Sedláková Věra,žena v domácnosti,Praha,67,8,0.64,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,36,Svatoň Pavel  Ing.,soudní znalec v dopravě,Praha,56,18,1.44,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,28,Turek Jaroslav,grafik,Praha,56,5,0.40,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,6,Utěšilová Ivana  Ing.,ekonomka,Praha,44,71,5.69,0,,Občané,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,12,Valigurský Leoš  Mgr.,"geolog, kamnář, pedagog",Praha,39,22,1.76,0,,Občané,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,19,Vaňásek František  Mgr.,majitel reklamního fotostudia,Praha,57,11,0.88,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,21,Vycpálková Blanka,zdravotní sestra,Praha,39,42,3.37,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
1,1,17,Zemek Josef  Mgr.,"učitel ČJ, RJ, ČJ pro ciz.",Praha,36,18,1.44,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=1&xstrana=1&xv=1&xt=1
2,1,12,Bílek Josef,security manažer,Kralupy nad Vltavou,36,18,1.03,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,6,Bílková Šárka  MUDr.,praktická lékařka,Slaný,47,79,4.56,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,14,Boháček Vladimír,hudebník,Praha,61,10,0.57,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,10,Borovanová Petra,produkční,Praha,32,26,1.50,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,29,Durajová Lada,manažerka hotelu,Praha,32,49,2.82,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,32,Francl Luboš,podnikatel,Praha,33,23,1.32,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,4,Gaydoš Miroslav  Ing.,podnikatel,Praha,56,11,0.63,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,1,Halman Libor  Ing.,podnikatel,Praha,54,47,2.71,0,,Občané,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,27,Halmanová Natalie,studentka MUP,Praha,22,44,2.54,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,19,Hašková Petra  Ing.,finanční poradkyně,Nučice,32,45,2.59,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,18,Havelka Jan  Ing.,podnikatel,Nová Ves pod Pleší,43,30,1.73,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,25,Havelková Romana,podnikatelka,Nová Ves pod Pleší,39,18,1.03,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,7,Havlenová Monika  Ing.,manažerka,Praha,32,21,1.21,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,20,Havránek Václav,stavební technik,Bratčice,51,32,1.84,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,30,Hrabák Aleš,manažer,Jirkov,29,26,1.50,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,21,Kos Jiří,seřizovač,Čenkov,46,30,1.73,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,2,Krausová Natalia,podnikatelka,Praha,37,36,2.07,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,13,Květoňová Kristýna  Ing.,zahradní inženýrka,Praha,29,52,3.00,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,3,Linhart Jaroslav  Ing.,ředitel pro výstavbu,Buštěhrad,46,26,1.50,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,5,Mirka Vladimír  MUDr.,lékař,Kladno,55,57,3.29,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,28,Píchová Andrea,administrativní pracovnice,Stříbrná Skalice,31,50,2.88,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,8,Pilná Květoslava,programátorka,Nová Ves pod Pleší,53,25,1.44,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,9,Polanecký Josef,živnostník,Kladno,65,18,1.03,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,17,Prášek Miroslav,servisní technik,Bratčice,59,25,1.44,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,31,Růžička Pavel,podnikatel,Praha,28,23,1.32,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,24,Spudil Radek,řidič speciálních vozů,Kladno,35,32,1.84,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,16,Šinágl Jan,"angaž.občan, nezáv. publicista",Žebrák,57,51,2.94,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
2,1,15,Štoček Martin  Ing.,statistik - metodik,Příbram,26,47,2.71,0,,BEZPP,Občané,http://volby.cz/pls/ps2010/ps111?xjazyk=CZ&xkraj=2&xstrana=1&xv=1&xt=1
