Kraj,Kandidatka,PoradiKand,KandJmeno,Povolani,Bydliste,KandVek,Hlasy,Procenta,Mandat,PoradiVysl,Prislusnost,NavrhujiciStrana,URL
1,1,54,Barták Jan  JUDr.,právník,Čelákovice,61,125,0.22,0,44,BEZPP,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,47,Beneš Milan,technik,Bělá pod Bezdězem,42,143,0.26,0,37,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,43,Bláha Miloš,zaměstnanec ČD,Pečky,42,267,0.48,0,33,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,59,Bradáč Antonín,zaměstnanec BA,Bečváry,52,115,0.21,0,49,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,64,Carvan Rudolf  Bc.,státní zaměstnanec,Kladno,52,96,0.17,0,54,BEZPP,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,10,Cinka Ivan  Mgr.,novinář,Benešov,51,680,1.24,1,10,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,57,Čechák Vilém  Ing.,dopravní technik,Olbramovice,68,180,0.32,0,47,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,39,Červenka Tomáš,autodopravce,Chlumín,39,112,0.20,0,29,BEZPP,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,70,Dolejší Jaroslava,úřednice,Slaný,61,116,0.21,0,60,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,23,Dovolil Josef  Ing.,podnikatel,Mladá Boleslav,51,550,1.00,0,13,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,50,Duník Vladimír,mistr,Čelákovice,51,158,0.28,0,40,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,3,Fialová Jiřina,poslankyně,Vraňany,58,1418,2.59,1,3,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,44,Franta Bohumil,vedoucí obchodního střediska,Olbramovice,43,123,0.22,0,34,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,45,Fryčer Jan,bezpečnostní technik,Úvaly,44,70,0.12,0,35,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,28,Grospičová Alena,dělnice,Mladá Boleslav,51,1095,2.00,0,18,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,30,Hájková Alžběta,úřednice,Kounice,47,137,0.25,0,20,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
